0.015,0.08,0.11
0.025,0.11,0.13
0.035,0.15,0.18
0.045,0.15,0.2
0.06,0.15,0.28
0.065,0.15,0.31
0.08,0.22,0.33
0.085,0.25,0.32
0.105,0.31,0.35
0.115,0.35,0.32
0.125,0.35,0.31
0.135,0.39,0.28
0.145,0.35,0.31
0.16,0.35,0.35
0.165,0.35,0.37
0.18,0.35,0.4
0.195,0.35,0.44
0.21,0.43,0.44
0.22,0.35,0.4
0.225,0.35,0.37
0.235,0.45,0.36
0.255,0.45,0.4
0.275,0.45,0.39
0.28,0.45,0.38
0.29,0.45,0.35
0.315,0.55,0.38
0.32,0.6,0.39
0.325,0.55,0.42
0.335,0.6,0.45
0.36,0.62,0.32
0.37,0.63,0.29
0.425,0.65,0.3
0.45,0.65,0.32
0.5,0.8,0.35
